Strike,Expiry,Contract Name,Last Trade Date,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Quote
325.0,2022-09-19,SPY220919C00325000,2022-09-13 12:00PM EDT,73.0,60.74,61.64,0.0,-,1,0,1.3496000000000001,2022-09-18 15:38:55.132511
330.0,2022-09-19,SPY220919C00330000,2022-09-13 11:53AM EDT,68.2,55.74,56.64,0.0,-,1,0,1.25,2022-09-18 15:38:55.132511
335.0,2022-09-19,SPY220919C00335000,2022-09-12 3:25PM EDT,75.36,50.74,51.64,0.0,-,2,0,1.1504,2022-09-18 15:38:55.132511
340.0,2022-09-19,SPY220919C00340000,2022-09-14 9:45AM EDT,55.06,45.74,46.64,0.0,-,1,1,1.0508,2022-09-18 15:38:55.132511
350.0,2022-09-19,SPY220919C00350000,2022-09-16 11:32AM EDT,33.43,35.75,36.65,-8.8,-20.84%,2,2,0.8554999999999999,2022-09-18 15:38:55.132511
353.0,2022-09-19,SPY220919C00353000,2022-09-14 2:17PM EDT,39.8,32.75,33.65,0.0,-,11,0,0.7959,2022-09-18 15:38:55.132511
357.0,2022-09-19,SPY220919C00357000,2022-09-16 3:08PM EDT,28.7,28.75,29.65,-6.41,-18.26%,6,0,0.7153,2022-09-18 15:38:55.132511
360.0,2022-09-19,SPY220919C00360000,2022-09-16 3:58PM EDT,25.99,25.76,26.65,-3.05,-10.50%,162,9,0.6557999999999999,2022-09-18 15:38:55.132511
362.0,2022-09-19,SPY220919C00362000,2022-09-16 12:39PM EDT,20.43,23.76,24.65,-15.17,-42.61%,20,0,0.6152000000000001,2022-09-18 15:38:55.132511
365.0,2022-09-19,SPY220919C00365000,2022-09-16 10:39AM EDT,20.2,20.76,21.66,-12.93,-39.03%,1,0,0.5542,2022-09-18 15:38:55.132511
366.0,2022-09-19,SPY220919C00366000,2022-09-13 3:36PM EDT,26.75,19.77,20.66,0.0,-,2,0,0.5347,2022-09-18 15:38:55.132511
368.0,2022-09-19,SPY220919C00368000,2022-09-16 4:14PM EDT,18.3,17.78,18.6,-15.37,-45.65%,4,0,0.5632,2022-09-18 15:38:55.132511
370.0,2022-09-19,SPY220919C00370000,2022-09-16 2:51PM EDT,15.1,15.79,16.68,-4.26,-22.00%,42,12,0.5297999999999999,2022-09-18 15:38:55.132511
374.0,2022-09-19,SPY220919C00374000,2022-09-16 3:55PM EDT,11.81,11.87,12.66,-4.39,-27.10%,233,0,0.43090000000000006,2022-09-18 15:38:55.132511
375.0,2022-09-19,SPY220919C00375000,2022-09-16 4:13PM EDT,11.29,11.24,11.41,-4.2,-27.11%,552,3,0.37060000000000004,2022-09-18 15:38:55.132511
376.0,2022-09-19,SPY220919C00376000,2022-09-16 3:55PM EDT,9.95,10.29,10.46,-5.85,-37.03%,119,0,0.354,2022-09-18 15:38:55.132511
377.0,2022-09-19,SPY220919C00377000,2022-09-16 3:58PM EDT,9.44,9.37,9.53,-4.21,-30.84%,129,0,0.3389,2022-09-18 15:38:55.132511
378.0,2022-09-19,SPY220919C00378000,2022-09-16 4:14PM EDT,8.45,8.45,8.62,-5.4,-38.99%,961,19,0.325,2022-09-18 15:38:55.132511
379.0,2022-09-19,SPY220919C00379000,2022-09-16 3:59PM EDT,7.57,7.59,7.73,-2.63,-25.78%,1615,0,0.3118,2022-09-18 15:38:55.132511
380.0,2022-09-19,SPY220919C00380000,2022-09-16 4:14PM EDT,6.74,6.74,6.9,-3.1,-31.50%,5702,19,0.303,2022-09-18 15:38:55.132511
381.0,2022-09-19,SPY220919C00381000,2022-09-16 4:10PM EDT,6.11,5.92,6.05,-2.72,-30.80%,6877,20,0.2896,2022-09-18 15:38:55.132511
382.0,2022-09-19,SPY220919C00382000,2022-09-16 4:14PM EDT,5.1,5.21,5.26,-3.5,-40.70%,19732,175,0.27940000000000004,2022-09-18 15:38:55.132511
383.0,2022-09-19,SPY220919C00383000,2022-09-16 4:14PM EDT,4.42,4.47,4.51,-3.12,-41.38%,53853,13,0.2698,2022-09-18 15:38:55.132511
384.0,2022-09-19,SPY220919C00384000,2022-09-16 4:14PM EDT,3.75,3.78,3.81,-3.25,-46.43%,74649,71,0.261,2022-09-18 15:38:55.132511
385.0,2022-09-19,SPY220919C00385000,2022-09-16 4:14PM EDT,3.1,3.14,3.17,-2.9,-48.33%,122148,214,0.2532,2022-09-18 15:38:55.132511
386.0,2022-09-19,SPY220919C00386000,2022-09-16 4:14PM EDT,2.52,2.56,2.59,-2.59,-50.68%,114034,206,0.24609999999999999,2022-09-18 15:38:55.132511
387.0,2022-09-19,SPY220919C00387000,2022-09-16 4:14PM EDT,2.03,2.05,2.07,-2.69,-56.99%,43519,678,0.23929999999999998,2022-09-18 15:38:55.132511
388.0,2022-09-19,SPY220919C00388000,2022-09-16 4:14PM EDT,1.59,1.6,1.62,-2.48,-60.93%,36510,707,0.2332,2022-09-18 15:38:55.132511
389.0,2022-09-19,SPY220919C00389000,2022-09-16 4:14PM EDT,1.21,1.22,1.24,-2.23,-64.83%,33716,2278,0.228,2022-09-18 15:38:55.132511
390.0,2022-09-19,SPY220919C00390000,2022-09-16 4:14PM EDT,0.9,0.9,0.91,-1.99,-68.86%,102731,4396,0.2214,2022-09-18 15:38:55.132511
391.0,2022-09-19,SPY220919C00391000,2022-09-16 4:14PM EDT,0.64,0.64,0.66,-1.8,-73.77%,27546,3987,0.217,2022-09-18 15:38:55.132511
392.0,2022-09-19,SPY220919C00392000,2022-09-16 4:14PM EDT,0.45,0.45,0.46,-1.57,-77.72%,23314,6116,0.21239999999999998,2022-09-18 15:38:55.132511
393.0,2022-09-19,SPY220919C00393000,2022-09-16 4:14PM EDT,0.3,0.3,0.32,-1.38,-82.14%,25813,5954,0.21,2022-09-18 15:38:55.132511
394.0,2022-09-19,SPY220919C00394000,2022-09-16 4:14PM EDT,0.21,0.2,0.21,-1.14,-84.44%,10095,4522,0.2066,2022-09-18 15:38:55.132511
395.0,2022-09-19,SPY220919C00395000,2022-09-16 4:14PM EDT,0.13,0.12,0.14,-0.96,-88.07%,22643,7750,0.2051,2022-09-18 15:38:55.132511
396.0,2022-09-19,SPY220919C00396000,2022-09-16 4:14PM EDT,0.09,0.08,0.09,-0.79,-89.77%,10292,3691,0.2036,2022-09-18 15:38:55.132511
397.0,2022-09-19,SPY220919C00397000,2022-09-16 4:14PM EDT,0.05,0.05,0.06,-0.64,-92.75%,6030,5335,0.2041,2022-09-18 15:38:55.132511
398.0,2022-09-19,SPY220919C00398000,2022-09-16 4:12PM EDT,0.03,0.03,0.04,-0.51,-94.44%,8451,4125,0.2051,2022-09-18 15:38:55.132511
399.0,2022-09-19,SPY220919C00399000,2022-09-16 4:14PM EDT,0.02,0.02,0.03,-0.41,-95.35%,4924,3850,0.2109,2022-09-18 15:38:55.132511
400.0,2022-09-19,SPY220919C00400000,2022-09-16 4:14PM EDT,0.02,0.01,0.02,-0.29,-93.55%,13072,16101,0.2109,2022-09-18 15:38:55.132511
401.0,2022-09-19,SPY220919C00401000,2022-09-16 4:14PM EDT,0.01,0.01,0.02,-0.23,-95.83%,4194,4750,0.22460000000000002,2022-09-18 15:38:55.132511
402.0,2022-09-19,SPY220919C00402000,2022-09-16 4:12PM EDT,0.01,0.01,0.02,-0.17,-94.44%,2080,9537,0.23829999999999998,2022-09-18 15:38:55.132511
403.0,2022-09-19,SPY220919C00403000,2022-09-16 4:14PM EDT,0.01,0.01,0.02,-0.13,-92.86%,2432,2433,0.25,2022-09-18 15:38:55.132511
404.0,2022-09-19,SPY220919C00404000,2022-09-16 4:12PM EDT,0.01,0.0,0.01,-0.11,-91.67%,1766,2715,0.2422,2022-09-18 15:38:55.132511
405.0,2022-09-19,SPY220919C00405000,2022-09-16 4:14PM EDT,0.01,0.0,0.01,-0.08,-88.89%,2858,4807,0.2539,2022-09-18 15:38:55.132511
406.0,2022-09-19,SPY220919C00406000,2022-09-16 3:59PM EDT,0.01,0.0,0.01,-0.07,-87.50%,2789,2663,0.2656,2022-09-18 15:38:55.132511
407.0,2022-09-19,SPY220919C00407000,2022-09-16 3:59PM EDT,0.01,0.0,0.01,-0.05,-83.33%,2447,3767,0.2734,2022-09-18 15:38:55.132511
408.0,2022-09-19,SPY220919C00408000,2022-09-16 3:10PM EDT,0.01,0.0,0.01,-0.03,-75.00%,1722,2623,0.2891,2022-09-18 15:38:55.132511
409.0,2022-09-19,SPY220919C00409000,2022-09-16 3:53PM EDT,0.01,0.0,0.01,-0.03,-75.00%,66,3985,0.2969,2022-09-18 15:38:55.132511
410.0,2022-09-19,SPY220919C00410000,2022-09-16 3:46PM EDT,0.01,0.01,0.02,-0.02,-66.67%,1218,6602,0.332,2022-09-18 15:38:55.132511
411.0,2022-09-19,SPY220919C00411000,2022-09-16 4:08PM EDT,0.01,0.0,0.01,-0.01,-50.00%,116,6157,0.32030000000000003,2022-09-18 15:38:55.132511
412.0,2022-09-19,SPY220919C00412000,2022-09-16 4:11PM EDT,0.01,0.0,0.01,-0.01,-50.00%,229,7331,0.3281,2022-09-18 15:38:55.132511
413.0,2022-09-19,SPY220919C00413000,2022-09-16 2:45PM EDT,0.01,0.0,0.01,0.0,-,181,3658,0.34380000000000005,2022-09-18 15:38:55.132511
414.0,2022-09-19,SPY220919C00414000,2022-09-16 12:14PM EDT,0.01,0.0,0.01,0.0,-,300,2992,0.35159999999999997,2022-09-18 15:38:55.132511
415.0,2022-09-19,SPY220919C00415000,2022-09-16 4:08PM EDT,0.01,0.0,0.01,0.0,-,128,7807,0.3594,2022-09-18 15:38:55.132511
416.0,2022-09-19,SPY220919C00416000,2022-09-16 3:12PM EDT,0.01,0.0,0.01,0.0,-,11,8585,0.375,2022-09-18 15:38:55.132511
417.0,2022-09-19,SPY220919C00417000,2022-09-16 2:51PM EDT,0.01,0.0,0.01,-0.01,-50.00%,24,1224,0.38280000000000003,2022-09-18 15:38:55.132511
418.0,2022-09-19,SPY220919C00418000,2022-09-16 2:51PM EDT,0.01,0.0,0.01,0.0,-,63,1680,0.3906,2022-09-18 15:38:55.132511
419.0,2022-09-19,SPY220919C00419000,2022-09-16 12:49PM EDT,0.03,0.0,0.01,0.02,+200.00%,13,1763,0.40630000000000005,2022-09-18 15:38:55.132511
420.0,2022-09-19,SPY220919C00420000,2022-09-16 3:57PM EDT,0.01,0.0,0.01,0.0,-,78,4219,0.41409999999999997,2022-09-18 15:38:55.132511
421.0,2022-09-19,SPY220919C00421000,2022-09-16 9:32AM EDT,0.01,0.0,0.01,0.0,-,31,1585,0.4219,2022-09-18 15:38:55.132511
422.0,2022-09-19,SPY220919C00422000,2022-09-16 10:14AM EDT,0.01,0.0,0.01,0.0,-,1,4193,0.4375,2022-09-18 15:38:55.132511
423.0,2022-09-19,SPY220919C00423000,2022-09-16 1:12PM EDT,0.01,0.0,0.01,0.0,-,17,1395,0.44530000000000003,2022-09-18 15:38:55.132511
424.0,2022-09-19,SPY220919C00424000,2022-09-16 9:42AM EDT,0.01,0.0,0.01,0.0,-,1,1335,0.4531,2022-09-18 15:38:55.132511
425.0,2022-09-19,SPY220919C00425000,2022-09-15 3:46PM EDT,0.01,0.0,0.01,0.0,-,43,4694,0.46880000000000005,2022-09-18 15:38:55.132511
426.0,2022-09-19,SPY220919C00426000,2022-09-15 10:51AM EDT,0.02,0.0,0.01,0.0,-,33,760,0.47659999999999997,2022-09-18 15:38:55.132511
427.0,2022-09-19,SPY220919C00427000,2022-09-16 2:00PM EDT,0.01,0.0,0.01,-0.01,-50.00%,10,1035,0.4844,2022-09-18 15:38:55.132511
428.0,2022-09-19,SPY220919C00428000,2022-09-16 2:51PM EDT,0.01,0.0,0.01,0.0,-,20,2643,0.5,2022-09-18 15:38:55.132511
429.0,2022-09-19,SPY220919C00429000,2022-09-14 3:50PM EDT,0.01,0.0,0.01,0.0,-,122,1315,0.5078,2022-09-18 15:38:55.132511
430.0,2022-09-19,SPY220919C00430000,2022-09-16 2:16PM EDT,0.01,0.0,0.01,0.0,-,21,1149,0.5156000000000001,2022-09-18 15:38:55.132511
431.0,2022-09-19,SPY220919C00431000,2022-09-15 9:50AM EDT,0.01,0.0,0.01,0.0,-,1,615,0.5,2022-09-18 15:38:55.132511
432.0,2022-09-19,SPY220919C00432000,2022-09-15 12:39PM EDT,0.01,0.0,0.01,0.0,-,2,608,0.5,2022-09-18 15:38:55.132511
433.0,2022-09-19,SPY220919C00433000,2022-09-16 10:07AM EDT,0.01,0.0,0.01,0.0,-,4,773,0.5156000000000001,2022-09-18 15:38:55.132511
434.0,2022-09-19,SPY220919C00434000,2022-09-15 9:40AM EDT,0.01,0.0,0.01,0.0,-,253,2501,0.5313,2022-09-18 15:38:55.132511
435.0,2022-09-19,SPY220919C00435000,2022-09-16 12:50PM EDT,0.01,0.0,0.01,0.0,-,1,659,0.5313,2022-09-18 15:38:55.132511
436.0,2022-09-19,SPY220919C00436000,2022-09-14 9:30AM EDT,0.01,0.0,0.01,0.0,-,25,443,0.5468999999999999,2022-09-18 15:38:55.132511
437.0,2022-09-19,SPY220919C00437000,2022-09-13 3:43PM EDT,0.02,0.0,0.01,0.0,-,123,827,0.5468999999999999,2022-09-18 15:38:55.132511
438.0,2022-09-19,SPY220919C00438000,2022-09-15 9:41AM EDT,0.01,0.0,0.01,0.0,-,175,518,0.5625,2022-09-18 15:38:55.132511
439.0,2022-09-19,SPY220919C00439000,2022-09-15 9:41AM EDT,0.01,0.0,0.01,0.0,-,1,2242,0.5625,2022-09-18 15:38:55.132511
440.0,2022-09-19,SPY220919C00440000,2022-09-14 9:52AM EDT,0.01,0.0,0.01,0.0,-,4,588,0.5781000000000001,2022-09-18 15:38:55.132511
441.0,2022-09-19,SPY220919C00441000,2022-09-14 9:30AM EDT,0.02,0.0,0.01,0.0,-,1,146,0.5938,2022-09-18 15:38:55.132511
442.0,2022-09-19,SPY220919C00442000,2022-09-13 3:52PM EDT,0.01,0.0,0.01,0.0,-,5,542,0.5938,2022-09-18 15:38:55.132511
443.0,2022-09-19,SPY220919C00443000,2022-09-13 3:32PM EDT,0.01,0.0,0.01,0.0,-,20,420,0.6093999999999999,2022-09-18 15:38:55.132511
444.0,2022-09-19,SPY220919C00444000,2022-09-14 2:35PM EDT,0.01,0.0,0.01,0.0,-,3,275,0.6093999999999999,2022-09-18 15:38:55.132511
445.0,2022-09-19,SPY220919C00445000,2022-09-13 9:51AM EDT,0.01,0.0,0.01,0.0,-,4,266,0.625,2022-09-18 15:38:55.132511
446.0,2022-09-19,SPY220919C00446000,2022-09-13 9:45AM EDT,0.01,0.0,0.01,0.0,-,7,23,0.625,2022-09-18 15:38:55.132511
447.0,2022-09-19,SPY220919C00447000,2022-09-07 9:31AM EDT,0.01,0.0,0.01,0.0,-,14,38,0.6406000000000001,2022-09-18 15:38:55.132511
