Strike,Expiry,Contract Name,Last Trade Date,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Quote
320.0,2022-09-19,SPY220919P00320000,2022-09-16 1:12PM EDT,0.01,0.0,0.01,-0.01,-50.00%,323,1147,0.8125,2022-09-18 15:38:55.134954
321.0,2022-09-19,SPY220919P00321000,2022-09-16 9:32AM EDT,0.01,0.0,0.01,0.0,-,2,1112,0.7813,2022-09-18 15:38:55.134954
322.0,2022-09-19,SPY220919P00322000,2022-09-16 9:30AM EDT,0.02,0.0,0.01,0.01,+100.00%,4,401,0.7813,2022-09-18 15:38:55.134954
323.0,2022-09-19,SPY220919P00323000,2022-09-15 1:28PM EDT,0.01,0.0,0.01,0.0,-,1,533,0.7656000000000001,2022-09-18 15:38:55.134954
324.0,2022-09-19,SPY220919P00324000,2022-09-16 10:28AM EDT,0.01,0.0,0.01,0.0,-,1,609,0.75,2022-09-18 15:38:55.134954
325.0,2022-09-19,SPY220919P00325000,2022-09-14 12:40PM EDT,0.03,0.0,0.01,0.0,-,4,272,0.75,2022-09-18 15:38:55.134954
326.0,2022-09-19,SPY220919P00326000,2022-09-16 12:52PM EDT,0.01,0.0,0.01,0.0,-,5,968,0.7188,2022-09-18 15:38:55.134954
327.0,2022-09-19,SPY220919P00327000,2022-09-16 12:30PM EDT,0.01,0.0,0.01,-0.01,-50.00%,1,966,0.7188,2022-09-18 15:38:55.134954
328.0,2022-09-19,SPY220919P00328000,2022-09-15 3:44PM EDT,0.02,0.0,0.01,0.0,-,10,435,0.7031000000000001,2022-09-18 15:38:55.134954
329.0,2022-09-19,SPY220919P00329000,2022-09-16 1:03PM EDT,0.01,0.0,0.01,-0.01,-50.00%,55,596,0.6875,2022-09-18 15:38:55.134954
330.0,2022-09-19,SPY220919P00330000,2022-09-16 3:58PM EDT,0.01,0.0,0.01,-0.01,-50.00%,509,911,0.6875,2022-09-18 15:38:55.134954
331.0,2022-09-19,SPY220919P00331000,2022-09-16 3:03PM EDT,0.01,0.0,0.01,-0.06,-85.71%,101,805,0.6718999999999999,2022-09-18 15:38:55.134954
332.0,2022-09-19,SPY220919P00332000,2022-09-16 3:38PM EDT,0.01,0.0,0.01,-0.02,-66.67%,167,632,0.6563,2022-09-18 15:38:55.134954
333.0,2022-09-19,SPY220919P00333000,2022-09-16 3:54PM EDT,0.01,0.0,0.01,-0.01,-50.00%,422,162,0.6406000000000001,2022-09-18 15:38:55.134954
334.0,2022-09-19,SPY220919P00334000,2022-09-16 4:12PM EDT,0.01,0.0,0.01,-0.03,-75.00%,248,1265,0.625,2022-09-18 15:38:55.134954
