Strike,Expiry,Contract Name,Last Trade Date,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Quote
300.0,2022-08-24 16:00:00,SPY220824C00300000,2022-08-22 11:14AM EDT,115.07,113.03,113.16,0.0,-,2,6,1.5859,2022-08-23 14:44:30.594686
340.0,2022-08-24 16:00:00,SPY220824C00340000,2022-08-03 12:49PM EDT,74.55,73.08,73.21,0.0,-,3,2,0.9609000000000001,2022-08-23 14:44:30.594686
350.0,2022-08-24 16:00:00,SPY220824C00350000,2022-08-12 3:14PM EDT,76.52,63.05,63.18,0.0,-,0,1,0.9140999999999999,2022-08-23 14:44:30.594686
354.0,2022-08-24 16:00:00,SPY220824C00354000,2022-08-15 11:36AM EDT,72.85,59.04,59.2,0.0,-,2,0,0.5,2022-08-23 14:44:30.594686
358.0,2022-08-24 16:00:00,SPY220824C00358000,2022-08-15 11:32AM EDT,68.76,55.08,55.22,0.0,-,1,1,0.7422,2022-08-23 14:44:30.594686
360.0,2022-08-24 16:00:00,SPY220824C00360000,2022-08-11 11:07AM EDT,62.48,53.08,53.21,0.0,-,1,1,0.7031000000000001,2022-08-23 14:44:30.594686
362.0,2022-08-24 16:00:00,SPY220824C00362000,2022-08-12 3:20PM EDT,64.51,51.08,51.21,0.0,-,0,0,0.6758,2022-08-23 14:44:30.594686
363.0,2022-08-24 16:00:00,SPY220824C00363000,2022-08-22 3:28PM EDT,50.34,50.81,50.99,0.0,-,6,3,1.1084,2022-08-23 14:44:30.594686
364.0,2022-08-24 16:00:00,SPY220824C00364000,2022-08-16 2:06PM EDT,67.36,49.06,49.19,0.0,-,2,0,0.5625,2022-08-23 14:44:30.594686
365.0,2022-08-24 16:00:00,SPY220824C00365000,2022-08-11 11:07AM EDT,57.52,48.06,48.19,0.0,-,1,1,0.5468999999999999,2022-08-23 14:44:30.594686
368.0,2022-08-24 16:00:00,SPY220824C00368000,2022-08-15 11:55AM EDT,60.32,45.07,45.22,0.0,-,2,2,0.6015999999999999,2022-08-23 14:44:30.594686
370.0,2022-08-24 16:00:00,SPY220824C00370000,2022-08-22 2:49PM EDT,42.83,43.03,43.2,0.0,-,1,7,0.6602,2022-08-23 14:44:30.594686
371.0,2022-08-24 16:00:00,SPY220824C00371000,2022-08-22 2:51PM EDT,41.99,42.95,43.14,0.0,-,17,15,0.9951000000000001,2022-08-23 14:44:30.594686
372.0,2022-08-24 16:00:00,SPY220824C00372000,2022-08-23 10:42AM EDT,41.68,41.06,41.18,0.87,+2.13%,2,0,0.6093999999999999,2022-08-23 14:44:30.594686
