Strike,Expiry,Contract Name,Last Trade Date,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Quote
275.0,2022-08-24 16:00:00,SPY220824P00275000,2022-08-23 12:04PM EDT,0.01,0.0,0.01,0.0,-,10,174,1.6562999999999999,2022-08-23 14:44:30.595881
280.0,2022-08-24 16:00:00,SPY220824P00280000,2022-08-12 9:35AM EDT,0.01,0.0,0.01,0.0,-,247,285,1.5937999999999999,2022-08-23 14:44:30.595881
285.0,2022-08-24 16:00:00,SPY220824P00285000,2022-08-17 4:08PM EDT,0.01,0.0,0.01,0.0,-,1,2024,1.5,2022-08-23 14:44:30.595881
290.0,2022-08-24 16:00:00,SPY220824P00290000,2022-08-15 9:32AM EDT,0.01,0.0,0.01,0.0,-,20,495,1.4375,2022-08-23 14:44:30.595881
295.0,2022-08-24 16:00:00,SPY220824P00295000,2022-08-17 4:08PM EDT,0.01,0.0,0.01,0.0,-,1,2004,1.375,2022-08-23 14:44:30.595881
300.0,2022-08-24 16:00:00,SPY220824P00300000,2022-08-23 9:30AM EDT,0.01,0.0,0.01,0.0,-,12,19,1.3125,2022-08-23 14:44:30.595881
310.0,2022-08-24 16:00:00,SPY220824P00310000,2022-08-23 11:02AM EDT,0.01,0.0,0.01,0.0,-,1,0,1.1875,2022-08-23 14:44:30.595881
315.0,2022-08-24 16:00:00,SPY220824P00315000,2022-08-17 4:08PM EDT,0.01,0.0,0.01,0.0,-,9,1254,1.125,2022-08-23 14:44:30.595881
320.0,2022-08-24 16:00:00,SPY220824P00320000,2022-08-17 4:08PM EDT,0.01,0.0,0.01,0.0,-,9,6445,1.0625,2022-08-23 14:44:30.595881
325.0,2022-08-24 16:00:00,SPY220824P00325000,2022-08-22 3:44PM EDT,0.01,0.0,0.01,0.0,-,20,670,1.0,2022-08-23 14:44:30.595881
330.0,2022-08-24 16:00:00,SPY220824P00330000,2022-08-17 11:18AM EDT,0.01,0.0,0.01,0.0,-,2,3106,0.9375,2022-08-23 14:44:30.595881
335.0,2022-08-24 16:00:00,SPY220824P00335000,2022-08-16 4:12PM EDT,0.01,0.0,0.01,0.0,-,11,568,0.8906000000000001,2022-08-23 14:44:30.595881
340.0,2022-08-24 16:00:00,SPY220824P00340000,2022-08-19 3:24PM EDT,0.01,0.0,0.01,0.0,-,2,0,0.8438,2022-08-23 14:44:30.595881
345.0,2022-08-24 16:00:00,SPY220824P00345000,2022-08-22 1:55PM EDT,0.01,0.0,0.01,0.0,-,3,306,0.7813,2022-08-23 14:44:30.595881
350.0,2022-08-24 16:00:00,SPY220824P00350000,2022-08-22 3:46PM EDT,0.01,0.0,0.01,0.0,-,37,4835,0.7188,2022-08-23 14:44:30.595881
354.0,2022-08-24 16:00:00,SPY220824P00354000,2022-08-17 4:09PM EDT,0.01,0.0,0.01,0.0,-,201,479,0.6718999999999999,2022-08-23 14:44:30.595881
355.0,2022-08-24 16:00:00,SPY220824P00355000,2022-08-23 12:09PM EDT,0.01,0.0,0.01,0.0,-,14,1316,0.6563,2022-08-23 14:44:30.595881
356.0,2022-08-24 16:00:00,SPY220824P00356000,2022-08-22 3:46PM EDT,0.01,0.0,0.01,0.0,-,22,105,0.6563,2022-08-23 14:44:30.595881
357.0,2022-08-24 16:00:00,SPY220824P00357000,2022-08-22 3:54PM EDT,0.01,0.0,0.01,0.0,-,828,1552,0.6406000000000001,2022-08-23 14:44:30.595881
358.0,2022-08-24 16:00:00,SPY220824P00358000,2022-08-23 2:23PM EDT,0.01,0.0,0.01,0.0,-,126,0,0.625,2022-08-23 14:44:30.595881
359.0,2022-08-24 16:00:00,SPY220824P00359000,2022-08-23 10:37AM EDT,0.01,0.0,0.01,0.0,-,1,160,0.6093999999999999,2022-08-23 14:44:30.595881
360.0,2022-08-24 16:00:00,SPY220824P00360000,2022-08-22 3:42PM EDT,0.01,0.0,0.01,0.0,-,1,1298,0.5938,2022-08-23 14:44:30.595881
361.0,2022-08-24 16:00:00,SPY220824P00361000,2022-08-19 11:15AM EDT,0.01,0.0,0.01,0.0,-,1,6,0.5938,2022-08-23 14:44:30.595881
362.0,2022-08-24 16:00:00,SPY220824P00362000,2022-08-22 9:37AM EDT,0.01,0.0,0.01,0.0,-,50,495,0.5781000000000001,2022-08-23 14:44:30.595881
363.0,2022-08-24 16:00:00,SPY220824P00363000,2022-08-22 1:58PM EDT,0.01,0.0,0.01,0.0,-,26,34,0.5625,2022-08-23 14:44:30.595881
364.0,2022-08-24 16:00:00,SPY220824P00364000,2022-08-22 1:58PM EDT,0.01,0.0,0.01,0.0,-,81,490,0.5625,2022-08-23 14:44:30.595881
365.0,2022-08-24 16:00:00,SPY220824P00365000,2022-08-22 1:59PM EDT,0.01,0.0,0.01,0.0,-,98,627,0.5468999999999999,2022-08-23 14:44:30.595881
366.0,2022-08-24 16:00:00,SPY220824P00366000,2022-08-22 1:59PM EDT,0.01,0.0,0.01,0.0,-,431,941,0.5313,2022-08-23 14:44:30.595881
367.0,2022-08-24 16:00:00,SPY220824P00367000,2022-08-22 1:38PM EDT,0.02,0.0,0.01,0.0,-,624,500,0.5313,2022-08-23 14:44:30.595881
368.0,2022-08-24 16:00:00,SPY220824P00368000,2022-08-22 10:47AM EDT,0.02,0.0,0.01,0.0,-,65,495,0.5156000000000001,2022-08-23 14:44:30.595881
369.0,2022-08-24 16:00:00,SPY220824P00369000,2022-08-23 9:48AM EDT,0.01,0.0,0.01,0.0,-,1,0,0.5,2022-08-23 14:44:30.595881
370.0,2022-08-24 16:00:00,SPY220824P00370000,2022-08-23 9:33AM EDT,0.01,0.0,0.01,-0.01,-50.00%,276,1545,0.5,2022-08-23 14:44:30.595881
371.0,2022-08-24 16:00:00,SPY220824P00371000,2022-08-23 9:40AM EDT,0.01,0.0,0.01,-0.02,-66.67%,70,1,0.5156000000000001,2022-08-23 14:44:30.595881
372.0,2022-08-24 16:00:00,SPY220824P00372000,2022-08-23 9:40AM EDT,0.02,0.0,0.01,0.0,-,30,734,0.5,2022-08-23 14:44:30.595881
373.0,2022-08-24 16:00:00,SPY220824P00373000,2022-08-23 9:42AM EDT,0.01,0.0,0.01,-0.01,-50.00%,100,482,0.4844,2022-08-23 14:44:30.595881
374.0,2022-08-24 16:00:00,SPY220824P00374000,2022-08-23 11:31AM EDT,0.02,0.0,0.01,0.0,-,1,577,0.47659999999999997,2022-08-23 14:44:30.595881
